,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_net_arch,params_tau,state
38,38,0.049433,2023-09-12 11:43:19.672783,2023-09-12 11:44:19.533654,0 days 00:00:59.860871,0.0003099837678096006,small,0.3793211986987397,PRUNED
39,39,-1.3665445,2023-09-12 11:44:19.533895,2023-09-12 11:45:10.593522,0 days 00:00:51.059627,0.0005371620252823523,medium,0.285933876840408,PRUNED
40,40,-2.75,2023-09-12 11:45:10.593753,2023-09-12 11:45:43.739496,0 days 00:00:33.145743,0.0003820669690065954,small,0.06890625142073739,PRUNED
41,41,-1.5359205,2023-09-12 11:45:43.739705,2023-09-12 11:46:17.090389,0 days 00:00:33.350684,0.00027133778524940177,medium,0.039384667443782787,PRUNED
42,42,-1.3542265,2023-09-12 11:46:17.090601,2023-09-12 11:46:50.414955,0 days 00:00:33.324354,0.0002635235044001477,medium,0.03511258399079344,PRUNED
43,43,-1.3326815,2023-09-12 11:46:50.415167,2023-09-12 11:47:24.909603,0 days 00:00:34.494436,0.00033327785577771685,medium,0.16460020949940776,PRUNED
44,44,-2.173514,2023-09-12 11:47:24.909817,2023-09-12 11:53:46.433843,0 days 00:06:21.524026,0.0002935592307907248,medium,0.11169956312940411,COMPLETE
45,45,-2.75,2023-09-12 11:53:46.434167,2023-09-12 11:54:21.083697,0 days 00:00:34.649530,0.00034841195675079396,large,0.4238662954377748,PRUNED
46,46,-2.75,2023-09-12 11:54:21.083973,2023-09-12 11:54:54.517393,0 days 00:00:33.433420,0.00022545232740517492,small,0.2845311192834111,PRUNED
47,47,-1.149061,2023-09-12 11:54:54.517622,2023-09-12 11:55:39.853337,0 days 00:00:45.335715,0.00043051119051801495,medium,0.19276377460126137,PRUNED
48,48,-2.75,2023-09-12 11:55:39.853547,2023-09-12 11:56:13.226026,0 days 00:00:33.372479,0.0004849491094469189,small,0.24534312565172214,PRUNED
49,49,-0.109263,2023-09-12 11:56:13.226237,2023-09-12 12:01:18.709185,0 days 00:05:05.482948,0.0003702449936006901,small,0.41444002107737454,COMPLETE
50,50,-2.75,2023-09-12 12:01:18.709542,2023-09-12 12:01:52.109816,0 days 00:00:33.400274,0.0003640616725033412,small,0.40777072164853734,PRUNED
51,51,-1.200235,2023-09-12 12:01:52.110038,2023-09-12 12:02:25.442748,0 days 00:00:33.332710,0.00032749774285590504,small,0.496980258620839,PRUNED
52,52,-2.75,2023-09-12 12:02:25.443044,2023-09-12 12:02:58.712165,0 days 00:00:33.269121,0.00041922332455546923,small,0.3109753655526026,PRUNED
53,53,-1.3569755,2023-09-12 12:02:58.712372,2023-09-12 12:03:31.970147,0 days 00:00:33.257775,0.00037966118470469435,small,0.41273110755514814,PRUNED
54,54,0.0597025,2023-09-12 12:03:31.970361,2023-09-12 12:04:31.943174,0 days 00:00:59.972813,0.00027590462261308565,small,0.24389331058186317,PRUNED
